,ID,Location,Price Range,City,House Style,Owner,Plot Types,Plot Sizes,Plot Prices,Link to Payment Plan,Webpage
22,296,Al Hafeez Gardens,PKR9.5 Lakh to 1.2 Crore,Lahore,"Houses, Commercial Plots, Residential Plots",Pakasia Group,"Houses(ResidentialHomes-IsmailBlock)
Houses(ResidentialHomes-IsmailBlock)
Houses(ResidentialHomes-AhmadBlock)
Houses(Residentialhomes-IbrahimBlock)
Houses(Residentialhomes-IbrahimBlock)
CommercialPlots(CommercialPlotOn40FtRoad-IbrahimBlock)
CommercialPlots(CommercialPlots-40FtRoad-ExcludingParkingA)
CommercialPlots(CommercialPlot-40FtRoad-AhmadBlock)
ResidentialPlots(ResidentialPlots-40FTRoad-IsmailBlock)
ResidentialPlots(ResidentialPlots-40FTRoad-IsmailBlock)
ResidentialPlots(ResidentialPlots-AhmadBlock)
ResidentialPlots(ResidentialPlots-30FtRoad-Ibrahim&amp;Ismail)
ResidentialPlots(ResidentialPlots(On30FtRoad)IbrahimBlock)
ResidentialPlots(ResidentialPlots(On30FtRoad)IbrahimBlock)
ResidentialPlots(ResidentialPlots-AhmadBlock)
ResidentialPlots(ResidentialPlots(On30FtRoad)IbrahimBlock)
","3Marla
5Marla
5Marla
5.11Marla
10Marla
0.89Marla
0.89Marla
1Marla
3Marla
4Marla
5Marla
5Marla
6Marla
8Marla
10Marla
10Marla
","PKR36Lakh
PKR58Lakh
PKR52Lakh
PKR58Lakh
PKR1.2Crore
PKR13.5Lakh
PKR9.5Lakh
PKR13.5Lakh
PKR12.75Lakh
PKR17Lakh
PKR18.5Lakh
PKR21.25Lakh
PKR25.5Lakh
PKR34Lakh
PKR37Lakh
PKR42.5Lakh
","https://images.zameen.com/w1600_h900/7/296/al_hafeez_garden_3981.jpg
",https://www.zameen.com/new-projects/al_hafeez_garden-296.html
23,1059,Tariq Gardens,PKR20  Lakh to 1.4 Crore,Lahore,"Houses, Residential Plots",Tariq Builders,"Houses(House)
Houses(House)
Houses(House)
Houses(House)
ResidentialPlots(Plot)
ResidentialPlots(Plot)
ResidentialPlots(Plot)
ResidentialPlots(Plot)
","5Marla
10Marla
12Marla
20Marla
5Marla
10Marla
12Marla
20Marla
","PKR40Lakh-60Lakh
PKR60Lakh-1Crore
PKR70Lakh-1.1Crore
PKR1Crore-1.4Crore
PKR20Lakh-35Lakh
PKR35Lakh-60Lakh
PKR45Lakh-70Lakh
PKR60Lakh-95Lakh
","https://images.zameen.com/w1600_h900/7/1059/tariq_garden_housing_scheme_14888.jpg
",https://www.zameen.com/new-projects/tariq_garden_housing_scheme-1059.html
24,954,Malmary Villas,PKR98  Lakh to 1.05 Crore,Lahore,Houses,0,"3BedsHouses(Villa-CoveredArea943Sq.Ft)
3BedsHouses(Villa-CoveredArea940Sq.Ft)
","1,125Sq.Ft.
1,125Sq.Ft.
0
0
","PKR98Lakh
PKR1.05Crore
0
0
","https://images.zameen.com/w1600_h900/7/954/malmary_villas_13429.jpg
",https://www.zameen.com/new-projects/malmary_villas-954.html
25,985,Ferozepur Roa,PKR20.95 Lakh to 1.5 Crore,Lahore,"Flats, Houses, Commercial Plots, Residential Plots",Enem Estate,"2BedsFlats(Apartments)
3BedsFlats(Apartments)
Houses(Homes)
Houses(Homes)
CommercialPlots(Plot)
ResidentialPlots(Plot)
ResidentialPlots(Plot)
ResidentialPlots(Plot)
ResidentialPlots(Plot)
","1,000Sq.Ft.
1,600Sq.Ft.
5Marla
8Marla
5Marla
5Marla
10Marla
20Marla
40Marla
0
0
","PKR39.95Lakh
PKR63.95Lakh
PKR49.95Lakh
PKR64.95Lakh
PKR1.5Crore
PKR20.95Lakh
PKR36.95Lakh
PKR69.95Lakh
PKR1.2Crore
0
0
","https://images.zameen.com/w1600_h900/7/985/ferozpur_city_13782.jpg
",https://www.zameen.com/new-projects/ferozpur_city-985.html
26,951,Al Hafeez Gardens,PKR29.5 Lakh to 69  Lakh,Lahore,Houses,Tamir Group,"1BedsHouses(SingleStorey)
3BedsHouses(DoubleStoreyDeluxe)
5BedsHouses(DoubleStorey)
","3Marla
5Marla
5Marla
0
0
0
","PKR29.5Lakh
PKR69Lakh
PKR55Lakh
0
0
0
","https://images.zameen.com/w1600_h900/7/951/tamir_homes_13352.jpg
",https://www.zameen.com/new-projects/tamir_homes-951.html
27,910,Garrison Homes,Houses,Lahore,Dewan Developers,0,"Houses(LuxuryHomes)
Houses(LuxuryHomes)
","4Marla
","5Marla
","https://images.zameen.com/w1600_h900/7/910/garrison_homes_12807.jpg
",https://www.zameen.com/new-projects/garrison_homes_phase_1-910.html
28,834,Bedian Roa,PKR69  Lakh to 75  Lakh,Lahore,Houses,Pace Woodlands,"Houses(WithCoveredArea2335Sq.Ft)
Houses(WithCoveredArea2425Sq.Ft)
Houses(WithCoveredArea2724Sq.Ft)
","7Marla
8Marla
9Marla
","PKR69Lakh
PKR70Lakh
PKR75Lakh
","https://images.zameen.com/w1600_h900/7/834/pace_woodlands_11952.jpg
https://images.zameen.com/w1600_h900/7/834/pace_woodlands_11953.jpg
",https://www.zameen.com/new-projects/pace_woodlands-834.html
29,803,Ferozepur Roa,PKR17  Lakh to 80  Lakh,Lahore,"Residential Plots, Houses",Fine Marketing Property Consultant &amp; Builders,"ResidentialPlots(Plots)
ResidentialPlots(Plots)
Houses(House)
Houses(House)
","3Marla
5Marla
3Marla
5Marla
","PKR17Lakh
PKR28Lakh
PKR52Lakh
PKR80Lakh
","https://images.zameen.com/w1600_h900/7/803/hajra_homes_11676.jpg
",https://www.zameen.com/new-projects/hajra_homes-803.html
30,672,Barki Roa,Houses,Lahore,Imperial Builders &amp; Developers,0,"Houses(5MarlaHomes)
Houses(6MarlaHomes)
Houses(10MarlaHomes)
Houses(11MarlaHomes)
Houses(12MarlaHomes)
Houses(18MarlaHomes)
Houses(1KanalHomes)
","5Marla
10Marla
12Marla
20Marla
","6Marla
11Marla
18Marla
",,https://www.zameen.com/new-projects/imperial_garden_homes-672.html
31,587,Bedian Roa,Houses,Lahore,Acro Developer,0,"Houses(DoubleStoreyHouse967sq.ftCoveredArea)
Houses(DoubleStoreyHouse1351sq.ftCoveredArea)
Houses(DoubleStoreyHouse1434sq.ftCoveredArea)
Houses(DoubleStoreyHouse1850CoveredArea)
Houses(DoubleStoreyHouse2115sq.ftCoveredArea)
","3Marla
6Marla
10Marla
","5Marla
8Marla
",,https://www.zameen.com/new-projects/elite_villas-587.html
32,556,Harbanspura Roa,PKR50  Lakh to 88  Lakh,Lahore,Houses,Al Jannat Developer,"Houses(Homes)
Houses(Homes)
Houses(Homes)
","3Marla
5Marla
6Marla
","PKR50Lakh
PKR75Lakh
PKR88Lakh
","https://images.zameen.com/w1600_h900/7/556/al_jannat_homes_8601.jpg
",https://www.zameen.com/new-projects/al_jannat_homes-556.html
33,468,Lahore,Houses,Lahore,Canal Fort,0,"Houses(3Marla)
Houses(4Marla)
Houses(5Marla)
Houses(10Marla)
","3Marla
5Marla
","4Marla
10Marla
",,https://www.zameen.com/new-projects/canal_forts_ll_homes-468.html
34,211,Eden Value Homes,PKR25.52 Lakh to 1.12 Crore,Lahore,Houses,Eden Builders,"2BedsHouses(2.5MarlaHouse-CoveredArea-726Sq.Ft)
3BedsHouses(3.5MarlaHouse-CoveredArea-1145Sq.Ft)
3BedsHouses(5MarlaHouse-CoveredArea-1384Sq.Ft)
3BedsHouses(7MarlaHouse-CoveredArea-1546Sq.Ft)
3BedsHouses(10MarlaHouse-CoveredArea-1650Sq.Ft)
3BedsHouses(12MarlaHouse-CoveredArea-2450Sq.Ft)
","2.5Marla
3.5Marla
5Marla
7Marla
10Marla
12Marla
0
0
0
0
0
0
","PKR25.52Lakh
PKR38.07Lakh
PKR47.71Lakh
PKR57.41Lakh
PKR70.97Lakh
PKR1.12Crore
0
0
0
0
0
0
","https://images.zameen.com/w1600_h900/7/211/eden_value_homes_1491.jpg
https://images.zameen.com/w1600_h900/7/211/eden_value_homes_1492.jpg
https://images.zameen.com/w1600_h900/7/211/eden_value_homes_1493.jpg
",https://www.zameen.com/new-projects/eden_value_homes-211.html
35,214,Lahore,PKR12.1 Lakh to 65.5 Lakh,Lahore,"Flats, Houses, Shops",Mubarik Group,"1BedsFlats
2BedsFlats
Houses(Possessionon50%payment)
Houses(Possessionon50%payment)
Shops
","400Sq.Ft.-530Sq.Ft.
543Sq.Ft.-689Sq.Ft.
4Marla
5Marla
265Sq.Ft.
0
","PKR13.75Lakh-18.75Lakh
PKR19.5Lakh-26Lakh
PKR55Lakh-65.5Lakh
PKR65.5Lakh
PKR12.1Lakh-13.2Lakh
0
",,https://www.zameen.com/new-projects/supreme_villas-214.html
36,184,My Home,PKR52  Lakh to 52  Lakh,Lahore,Houses,Athar's Builder,"Houses
","5Marla
","PKR52Lakh
","https://images.zameen.com/w1600_h900/7/184/my_home_880.jpg
https://images.zameen.com/w1600_h900/7/184/my_home_881.jpg
",https://www.zameen.com/new-projects/my_home-184.html
37,209,Lake City,PKR40.22 Lakh to 1.48 Crore,Lahore,Houses,Eden Builders,"3BedsHouses(BudgetCategory-5Marla)
3BedsHouses(BudgetCategory-7Marla)
3BedsHouses(ExecutiveCategory-5Marla)
3BedsHouses(BudgetCategory-10Marla)
3BedsHouses(ExecutiveCategory-7Marla)
3BedsHouses(ExecutiveCategory-10Marla)
3BedsHouses(BudgetCategory-12Marla)
3BedsHouses(BudgetCategory-12.5Marla)
3BedsHouses(ExecutiveCategory-12Marla)
3BedsHouses(ExecutiveCategory-12.5Marla)
4BedsHouses(BudgetCategory-20Marla)
4BedsHouses(ExecutiveCategory-15Marla)
4BedsHouses(ExecutiveCategory-20Marla)
4BedsHouses(BudgetCategory-15Marla)
","5.91Marla
6.46Marla
6.48Marla
6.88Marla
7.39Marla
9.42Marla
9.47Marla
9.79Marla
10.91Marla
11.65Marla
13.82Marla
15.12Marla
17.19Marla
36.68Marla
0
0
0
0
0
0
0
0
0
0
0
0
0
0
","PKR40.22Lakh-49.72Lakh
PKR48.72Lakh-57.12Lakh
PKR42.6Lakh-52.37Lakh
PKR60.21Lakh-68.97Lakh
PKR51.97Lakh-62.09Lakh
PKR68.79Lakh-79.07Lakh
PKR76.7Lakh-87.93Lakh
PKR78.82Lakh-90.49Lakh
PKR81.84Lakh-93.5Lakh
PKR83Lakh-97.56Lakh
PKR1.19Crore-1.33Crore
PKR1.02Crore-1.19Crore
PKR1.29Crore-1.48Crore
PKR96.88Lakh-1.13Crore
0
0
0
0
0
0
0
0
0
0
0
0
0
0
","https://images.zameen.com/w1600_h900/7/209/eden_life_style_homes_1484.jpg
",https://www.zameen.com/new-projects/eden_life_style_homes-209.html
38,157,Fazaia Housing Scheme,PKR98.57 Lakh to 1.15 Crore,Lahore,Houses,Zaamin Group,"4BedsHouses(Aspire)
4BedsHouses(Nova)
4BedsHouses(Seville)
4BedsHouses(Twin)
","11.49Marla
12.51Marla
13.89Marla
14Marla
0
0
","PKR98.57Lakh
PKR1.07Crore
PKR1.11Crore
PKR1.15Crore
0
0
","https://images.zameen.com/w1600_h900/7/157/zaamin_fazaia_villas_511.jpg
https://images.zameen.com/w1600_h900/7/157/zaamin_fazaia_villas_512.jpg
https://images.zameen.com/w1600_h900/7/157/zaamin_fazaia_villas_513.jpg
",https://www.zameen.com/new-projects/zaamin_fazaia_villas-157.html
39,295,Ring Roa,PKR9.75 Lakh to 85  Lakh,Lahore,"Houses, Residential Plots",Al-Hassan Builders and Developers,"Houses(ConstructedHouses)
Houses(ConstructedHouses)
Houses(ConstructedHouses)
ResidentialPlots(3MarlaPlotOn25ftRoad)
ResidentialPlots(4Marlaploton25FtRoad)
ResidentialPlots(5MarlaPlotOn30FtRoad)
ResidentialPlots(6MarlaPlotOn40ftRoad)
ResidentialPlots(7MarlaPlotOn40ftRoad)
ResidentialPlots(10MarlaPlotOn30ftRoad)
ResidentialPlots(1KanalPlotOn40ftRoad)
","3Marla
4Marla
5Marla
3Marla
4Marla
5Marla
6Marla
7Marla
10Marla
20Marla
","PKR35Lakh
PKR45Lakh
PKR55Lakh
PKR9.75Lakh
PKR13Lakh
PKR17.5Lakh
PKR25.5Lakh
PKR29.75Lakh
PKR35Lakh
PKR85Lakh
",,https://www.zameen.com/new-projects/mashallah_housing_scheme-295.html
